year_month,report_status,ga_login_count,touch_send_total,touch_send_event,touch_send_newsletter,touch_send_content,send_agent_unique_total,send_agent_unique_event,recv_customer_unique_total,recv_customer_unique_event,apply_total,apply_contract_customer,apply_prospect_customer,note
2026-01,정상,8276,9377,4043,2504,2830,3488,1622,54675,19092,10871,9947,924,
2026-02,정상,9922,15094,2116,498,12480,3822,865,99207,16797,8981,8238,743,
2026-03,정상,10718,17857,4685,5405,7767,6394,2036,88164,29428,17830,16882,948,
2026-04,정상,9370,13155,3170,2848,7137,4351,1309,93973,14697,11088,10201,887,
2026-05,정상,10197,13341,4245,3061,6035,4787,1671,91172,17544,12105,11214,891,
2026-06,보고서 누락,5605,2964,832,477,1655,1091,353,29608,5117,1098,1028,70,"6월 운영 리뷰 pptx 보고서는 파일 오류로 삭제되어 없음. 단, 이 xlsx 누적 집계에는 6월 수치가 남아 있으며 다른 달 대비 크게 낮음(GA 5,605명·터치발송 2,964건) - 실제 저조였는지 부분 집계인지 확인 필요"
2026-07,정상,9267,11759,6657,1378,3724,3893,1951,112144,42010,44258,29697,14561,
2026-08,정상,8599,11142,3353,2972,4817,4053,1294,68819,20739,14363,12959,1404,8월 컬럼 헤더가 원본에 '오오'로 표기되어 있어(정상값 '8' 추정) 단위/헤더 오류로 확인 필요
